TractFIPS,StateAbbr,obesity,diabetes,hypertension,chd,physical_inactivity,burden
39143960800,OH,41.6,12.0,35.7,6.9,,0.486765
40143005001,OK,37.3,10.4,33.2,5.8,,0.090763
51041100819,VA,42.0,11.8,38.2,4.6,,0.307278
51630000200,VA,34.7,10.2,32.1,5.4,,-0.067517
53033005801,WA,23.1,4.9,20.3,2.8,,-1.288622
06037262301,CA,20.7,8.6,28.2,5.2,,-0.679793
36085024402,NY,30.9,8.4,25.9,4.1,,-0.584250
41051000401,OR,23.7,5.9,21.6,3.9,,-1.062860
42003151600,PA,29.2,7.2,26.6,5.1,,-0.568732
45073030500,SC,35.7,13.4,39.4,7.7,,0.583544
32003000527,NV,38.5,12.8,28.8,4.8,,0.022646
39153502600,OH,47.6,11.7,31.3,6.4,,0.464730
39161020600,OH,47.6,12.6,34.9,7.1,,0.688494
09001230100,CT,22.9,6.8,26.0,4.8,,-0.817924
42087961000,PA,35.8,10.2,33.0,6.8,,0.140443
47037010105,TN,38.4,17.0,44.0,6.5,,0.849803
48423002006,TX,30.9,10.7,36.5,6.5,,0.092661
06037229200,CA,37.5,15.1,28.8,5.1,,0.149710
29095013307,MO,45.7,14.3,39.6,5.3,,0.660490
37081012505,NC,27.2,8.3,31.5,5.6,,-0.376662
48113011103,TX,44.7,18.6,41.9,7.1,,1.120822
49049000708,UT,29.1,7.3,21.8,3.5,,-0.872757
53033031501,WA,28.1,7.1,26.6,4.2,,-0.702870
24510080102,MD,47.0,18.3,44.5,6.5,,1.177002
17031690900,IL,43.6,17.7,42.7,6.6,,1.009487
37183053204,NC,34.5,7.6,25.8,3.4,,-0.603586
39173022100,OH,43.6,11.6,34.6,6.8,,0.480782
42075003300,PA,34.7,10.0,32.8,7.0,,0.114709
42129801100,PA,30.2,8.5,31.3,6.1,,-0.232220
17031491400,IL,44.5,17.2,41.4,6.0,,0.907201
13121011100,GA,33.4,11.7,36.3,4.5,,-0.005447
55079009200,WI,42.0,9.3,31.9,3.6,,-0.109331
04017961300,AZ,35.1,11.9,33.4,7.3,,0.276731
06061021322,CA,25.4,7.2,23.4,3.9,,-0.895309
06075015200,CA,18.1,8.1,25.1,4.6,,-0.931216
13049010100,GA,44.7,15.9,43.6,7.5,,1.067050
27123040601,MN,27.6,9.4,33.2,6.1,,-0.205211
36021001500,NY,30.8,11.6,33.7,6.8,,0.092851
48113007909,TX,26.8,4.5,17.6,1.8,,-1.388336
50021963100,VT,31.7,8.7,31.1,6.2,,-0.173694
26163510700,MI,44.6,16.6,40.6,8.3,,1.105234
48201232302,TX,40.9,10.3,29.4,3.5,,-0.167221
53033000200,WA,22.9,6.6,24.2,3.7,,-0.997782
55075961200,WI,35.6,8.8,31.2,5.8,,-0.098359
06027000200,CA,28.8,10.2,32.0,6.2,,-0.150847
37071030501,NC,39.2,11.1,34.0,6.6,,0.290972
39049006722,OH,30.3,10.2,32.8,6.7,,-0.031917
49057210800,UT,35.6,8.5,25.4,4.3,,-0.437789
53033023100,WA,21.6,6.8,26.1,4.2,,-0.917086
04013110901,AZ,32.1,11.2,31.4,6.6,,0.022917
06037217200,CA,30.5,11.0,27.6,3.9,,-0.431253
08023972600,CO,32.9,17.3,37.7,9.5,,0.860609
13223120101,GA,35.3,8.1,31.0,3.9,,-0.355857
36067013800,NY,34.8,11.1,36.4,7.1,,0.286927
48167725000,TX,37.8,13.3,33.6,5.9,,0.281820
06037310900,CA,26.0,9.1,25.5,4.1,,-0.696891
06067001700,CA,30.8,9.8,28.4,5.6,,-0.280334
41007950400,OR,30.1,9.5,31.1,6.2,,-0.176323
53077940003,WA,42.4,14.8,35.7,7.6,,0.734968
09001011100,CT,21.9,6.8,26.0,4.6,,-0.867972
42045410800,PA,28.4,8.1,30.4,5.2,,-0.427179
48337950400,TX,36.5,12.6,38.9,7.9,,0.571320
25025040600,MA,18.6,4.0,17.3,2.6,,-1.569149
29071801102,MO,37.1,10.7,34.1,6.8,,0.234508
30067000300,MT,31.4,10.0,31.2,6.4,,-0.088282
39147963400,OH,41.5,13.3,38.1,8.6,,0.804256
41019080000,OR,29.5,11.1,37.0,8.4,,0.294233
53011040610,WA,28.9,6.3,23.5,3.3,,-0.906437
06037214700,CA,24.1,7.2,24.4,4.0,,-0.893618
06037402001,CA,27.5,10.2,26.0,4.2,,-0.570879
21169960100,KY,40.5,14.0,41.7,8.8,,0.934752
26155031301,MI,35.7,9.0,32.3,5.8,,-0.054354
37119003808,NC,40.9,10.3,24.3,3.4,,-0.319399
40095094802,OK,39.1,15.1,45.9,9.5,,1.146127
41033360702,OR,31.3,11.6,34.5,8.4,,0.302713
42027010600,PA,34.7,10.0,31.5,6.6,,0.035304
08123001409,CO,26.5,6.7,23.1,4.1,,-0.877454
17031805112,IL,25.5,10.8,30.6,6.7,,-0.196947
24031701317,MD,24.7,7.6,28.2,4.2,,-0.728234
25017337202,MA,24.0,8.1,29.9,6.0,,-0.479057
33015107200,NH,28.0,7.5,25.9,4.7,,-0.649510
36035971400,NY,34.5,10.9,34.9,6.7,,0.182787
39035106100,OH,34.8,11.3,32.2,6.2,,0.083620
42013010103,PA,32.5,9.4,31.4,6.6,,-0.061914
34027043000,NJ,25.0,7.3,27.4,4.4,,-0.736237
37161961000,NC,38.3,12.5,36.4,7.6,,0.515207
17043841110,IL,31.3,9.5,30.2,6.0,,-0.188923
08014031400,CO,26.2,7.6,29.4,5.3,,-0.533151
35001002401,NM,34.7,15.0,32.9,5.9,,0.265341
36081028500,NY,28.1,12.8,30.1,5.9,,-0.116967
39113010100,OH,31.4,8.6,31.6,5.3,,-0.271289
42101001700,PA,21.0,4.5,17.9,2.6,,-1.457746
51059432201,VA,24.8,6.2,20.8,2.4,,-1.200475
06077005208,CA,31.0,7.8,23.2,3.3,,-0.775052
29105960400,MO,38.2,11.9,37.2,7.6,,0.502483
37067003108,NC,38.5,14.2,35.9,8.1,,0.652077
48381020500,TX,43.5,9.9,29.9,4.8,,0.039975
08041003707,CO,27.1,6.3,23.3,3.6,,-0.930491
24035810700,MD,38.6,10.8,38.4,5.8,,0.293106
25027757100,MA,36.2,10.9,29.2,6.0,,-0.002876
37051000600,NC,36.6,12.9,39.2,7.4,,0.544275
37113970302,NC,35.7,12.6,38.6,8.9,,0.648765
40109100500,OK,49.5,22.2,52.6,7.6,,1.800037
17099962900,IL,37.0,11.5,34.5,7.0,,0.307190
20173000400,KS,49.4,16.8,37.1,6.7,,0.981535
36083052303,NY,36.1,9.4,30.3,5.4,,-0.120441
49035112815,UT,28.7,7.3,26.1,3.7,,-0.743248
22099020600,LA,44.5,16.0,44.5,7.0,,1.037439
32003003238,NV,30.6,7.5,25.6,3.6,,-0.703381
34031256802,NJ,27.4,7.1,27.5,4.5,,-0.665246
41039002600,OR,34.8,9.1,29.0,5.7,,-0.176829
49049002400,UT,29.0,5.1,15.0,2.1,,-1.333408
51059480802,VA,23.9,6.2,21.9,2.7,,-1.162980
50001961000,VT,30.0,8.3,28.0,5.7,,-0.383407
01003011401,AL,38.9,12.3,37.6,7.0,,0.489724
26043950300,MI,35.4,10.0,34.8,6.8,,0.168296
29109470100,MO,39.2,11.7,35.7,7.4,,0.456898
48309003601,TX,39.2,13.1,37.8,7.1,,0.557363
11001001901,DC,26.5,10.4,36.2,4.5,,-0.273351
13165960100,GA,43.7,18.8,47.8,9.1,,1.483544
16021970200,ID,35.1,11.8,34.8,7.2,,0.299341
17161023500,IL,44.9,14.0,36.8,5.8,,0.598402
28049010203,MS,49.5,19.9,49.6,6.6,,1.485565
37091950100,NC,42.6,16.2,41.2,7.2,,0.924482
06065048700,CA,36.0,9.7,25.2,3.7,,-0.432939
13215011100,GA,40.4,15.9,40.4,7.0,,0.802205
17031823801,IL,25.9,9.0,30.0,6.0,,-0.374317
36005016600,NY,28.6,10.7,28.0,5.3,,-0.338255
06037192700,CA,29.4,12.7,25.9,4.0,,-0.407883
06059099905,CA,27.9,10.5,27.6,5.1,,-0.401566
06073019809,CA,22.1,10.3,30.4,6.5,,-0.347313
17115002904,IL,36.2,12.2,38.5,7.9,,0.530355
18097320105,IN,32.8,10.3,32.5,5.6,,-0.083281
26099252200,MI,33.8,9.5,36.5,7.0,,0.165007
37035010102,NC,34.9,11.1,36.0,7.1,,0.278678
48061013309,TX,49.5,20.2,33.4,6.7,,1.063497
18173030600,IN,35.2,10.8,33.9,6.4,,0.137049
06037603600,CA,25.4,11.8,27.3,4.3,,-0.498073
06053011604,CA,20.8,10.8,37.2,7.7,,-0.038885
06073010104,CA,24.1,11.6,26.8,5.5,,-0.429347
26017280700,MI,44.1,12.7,36.4,7.0,,0.625306
35013001804,NM,42.8,17.2,35.9,7.2,,0.836708
48141010317,TX,36.7,12.9,30.6,4.7,,0.015981
48157670800,TX,43.0,12.8,35.2,3.9,,0.230018
17197880601,IL,32.5,8.4,30.8,5.1,,-0.294640
05051011800,AR,35.5,14.5,45.7,10.7,,1.136571
34025800702,NJ,26.8,8.6,30.3,5.5,,-0.416076
42025020400,PA,38.7,12.8,37.4,8.9,,0.711271
48201454900,TX,29.5,7.6,24.7,3.0,,-0.819241
51059492400,VA,27.3,7.1,23.7,2.9,,-0.946902
01097001800,AL,42.7,15.6,41.9,6.7,,0.860436
06013392000,CA,21.2,8.4,28.3,5.1,,-0.684373
13231010400,GA,33.1,10.1,35.7,5.5,,-0.007624
22037951400,LA,44.3,16.5,45.8,8.3,,1.235488
24033803525,MD,42.7,10.2,34.0,3.0,,-0.048264
26049013112,MI,36.6,7.9,31.0,4.8,,-0.232076
28087000102,MS,38.1,10.4,38.3,5.4,,0.211406
22017025100,LA,40.8,16.9,44.8,9.1,,1.216649
25027742402,MA,23.1,6.2,20.6,3.1,,-1.178315
37189920200,NC,34.3,12.4,36.5,7.8,,0.420890
40089098400,OK,47.2,15.0,43.6,8.5,,1.198305
06037231500,CA,35.2,15.0,33.0,5.1,,0.195535
17031829401,IL,43.8,17.9,41.5,6.7,,1.003435
26049002200,MI,52.4,16.0,41.1,7.9,,1.264851
48265960100,TX,32.8,14.0,42.8,9.4,,0.811942
15007040300,HI,23.2,8.9,25.7,4.5,,-0.738060
22103040601,LA,29.2,10.6,40.6,7.9,,0.304553
42045403701,PA,32.2,8.5,30.6,5.5,,-0.259969
56025000200,WY,38.4,11.9,32.9,6.8,,0.302235
17031814400,IL,35.5,11.3,25.3,5.1,,-0.207035
35001004717,NM,30.2,8.1,24.5,3.4,,-0.734839
44007012701,RI,27.1,9.3,34.5,7.0,,-0.091106
44007014400,RI,26.9,9.6,35.2,7.0,,-0.061350
49027974300,UT,33.2,10.1,31.2,6.3,,-0.042738
06053010400,CA,30.6,12.2,24.6,4.7,,-0.360682
15003002201,HI,24.7,10.3,27.4,4.1,,-0.616987
18097322600,IN,47.6,18.3,42.4,6.4,,1.124977
42101001202,PA,20.0,4.2,16.4,2.6,,-1.543702
48113007301,TX,26.4,5.8,25.2,3.5,,-0.935248
06037195100,CA,22.4,8.2,25.3,3.8,,-0.885145
36029009114,NY,30.3,9.8,33.0,6.3,,-0.091124
48453002109,TX,34.2,14.5,37.2,6.0,,0.354454
13051004400,GA,46.6,21.9,49.5,7.4,,1.594171
17043843000,IL,30.2,7.4,24.5,4.2,,-0.685484
37081012503,NC,31.4,9.7,32.6,5.9,,-0.119736
40109108113,OK,33.4,8.8,29.3,4.3,,-0.376070
37119001919,NC,39.3,13.0,32.9,5.3,,0.223863
41005020200,OR,28.8,7.6,29.3,5.0,,-0.494724
42049002700,PA,37.7,11.8,33.6,7.3,,0.350663
48141001502,TX,29.1,9.6,28.3,4.6,,-0.450447
55141011400,WI,34.2,10.3,37.0,7.8,,0.319707
04013116605,AZ,32.5,7.6,21.8,2.9,,-0.825376
09001021700,CT,22.9,6.1,20.0,2.9,,-1.227646
13021012101,GA,33.6,11.2,34.1,6.1,,0.086056
26005032000,MI,38.3,9.6,33.0,6.2,,0.114214
26087342100,MI,37.0,9.5,32.4,5.7,,0.001154
29115490100,MO,37.0,11.8,39.6,7.9,,0.562153
45019004300,SC,48.3,23.2,48.6,8.7,,1.827878
13121006601,GA,38.8,15.7,42.3,5.3,,0.614442
34029731103,NJ,31.3,7.1,25.4,4.4,,-0.623688
48451001301,TX,31.0,6.6,23.0,3.6,,-0.812177
51087200410,VA,41.7,12.9,36.4,5.7,,0.426952
13225040101,GA,34.1,10.4,36.4,5.5,,0.056162
18181958400,IN,37.8,10.5,34.7,6.1,,0.184388
48215022001,TX,41.5,13.9,28.4,5.2,,0.198788
55063000900,WI,32.7,6.9,24.6,4.6,,-0.595153
24031702700,MD,28.3,8.3,28.0,4.1,,-0.605129
05045030104,AR,35.5,9.0,33.1,5.5,,-0.070389
17143003900,IL,31.6,7.8,28.0,4.6,,-0.484038
25027731900,MA,40.6,12.9,29.9,5.7,,0.215627
