Census_Tract,County,State,State_Abbr,Resilience_Score,Health_Burden,Urban_Rural,Population_2010,Poverty_Rate,Median_Income,City,City_State
9007541300,Middlesex County,Connecticut,CT,2.297,-1.225,Urban,6207,5.2,76540.0,Middlesex,"Middlesex, CT"
13059000600,Clarke County,Georgia,GA,2.297,-0.893,Urban,2594,52.6,27778.0,Athens,"Athens, GA"
15003009501,Honolulu County,Hawaii,HI,2.28,-1.566,Urban,4893,4.6,53428.0,Honolulu,"Honolulu, HI"
13059001900,Clarke County,Georgia,GA,2.268,-0.876,Urban,3229,31.2,69659.0,Athens,"Athens, GA"
24003740601,Anne Arundel County,Maryland,MD,2.259,-1.014,Urban,3661,5.2,79189.0,Anne Arundel,"Anne Arundel, MD"
45077011204,Pickens County,South Carolina,SC,2.257,-0.703,Urban,4368,45.4,47862.0,Pickens,"Pickens, SC"
24031700310,Montgomery County,Maryland,MD,2.255,-1.001,Urban,5267,10.3,92175.0,Montgomery,"Montgomery, MD"
51760030200,Richmond city,Virginia,VA,2.255,-0.86,Urban,2055,37.1,,Richmond city,"Richmond city, VA"
24037875801,St. Mary's County,Maryland,MD,2.252,-0.997,Urban,1014,7.1,68393.0,St. Mary's,"St. Mary's, MD"
48041001302,Brazos County,Texas,TX,2.247,-0.961,Urban,4028,32.4,61635.0,College Station,"College Station, TX"
4013422304,Maricopa County,Arizona,AZ,2.24,-1.111,Urban,2786,14.2,55625.0,Phoenix,"Phoenix, AZ"
51710002500,Norfolk city,Virginia,VA,2.24,-0.871,Urban,4748,49.8,27240.0,Norfolk,"Norfolk, VA"
47037019118,Davidson County,Tennessee,TN,2.232,-0.645,Urban,4780,17.2,57125.0,Nashville,"Nashville, TN"
47093000100,Knox County,Tennessee,TN,2.229,-0.621,Urban,1605,29.8,113750.0,Knox,"Knox, TN"
31055007001,Douglas County,Nebraska,NE,2.228,-1.011,Urban,3944,22.6,55436.0,Douglas,"Douglas, NE"
48113009900,Dallas County,Texas,TX,2.228,-0.922,Urban,2537,11.3,60268.0,Dallas,"Dallas, TX"
16065950400,Madison County,Idaho,ID,2.224,-1.091,Urban,6109,22.8,61058.0,Madison,"Madison, ID"
20045000501,Douglas County,Kansas,KS,2.22,-0.807,Urban,3227,18.8,59813.0,Douglas,"Douglas, KS"
16057005100,Latah County,Idaho,ID,2.22,-1.092,Urban,7583,32.2,62750.0,Latah,"Latah, ID"
18167011100,Vigo County,Indiana,IN,2.217,-0.659,Urban,7060,49.7,,Vigo,"Vigo, IN"
55035001200,Eau Claire County,Wisconsin,WI,2.214,-1.098,Urban,5424,56.5,67600.0,Eau Claire,"Eau Claire, WI"
49049001702,Utah County,Utah,UT,2.205,-1.495,Urban,4586,41.0,48500.0,Utah,"Utah, UT"
48453001844,Travis County,Texas,TX,2.178,-0.761,Urban,3668,10.6,58036.0,Austin,"Austin, TX"
48439122400,Tarrant County,Texas,TX,2.175,-0.764,Urban,5760,39.8,52656.0,Fort Worth,"Fort Worth, TX"
42085033000,Mercer County,Pennsylvania,PA,2.169,-0.844,Urban,5125,20.4,62130.0,Mercer,"Mercer, PA"
39049009336,Franklin County,Ohio,OH,2.168,-0.436,Urban,2738,17.3,39837.0,Columbus,"Columbus, OH"
19013002304,Black Hawk County,Iowa,IA,2.165,-0.981,Urban,2749,29.1,111000.0,Black Hawk,"Black Hawk, IA"
48453002313,Travis County,Texas,TX,2.163,-0.752,Urban,4311,25.1,29966.0,Austin,"Austin, TX"
47149041403,Rutherford County,Tennessee,TN,2.158,-0.557,Urban,7429,28.3,83239.0,Rutherford,"Rutherford, TN"
33005971401,Cheshire County,New Hampshire,NH,2.157,-1.346,Urban,5364,30.4,69667.0,Cheshire,"Cheshire, NH"
47037019111,Davidson County,Tennessee,TN,2.154,-0.598,Urban,4163,17.3,49012.0,Nashville,"Nashville, TN"
47093003801,Knox County,Tennessee,TN,2.154,-0.576,Urban,4268,27.5,57361.0,Knox,"Knox, TN"
13045910501,Carroll County,Georgia,GA,2.154,-0.813,Urban,8876,35.5,42111.0,Carroll,"Carroll, GA"
26161405600,Washtenaw County,Michigan,MI,2.153,-0.688,Urban,4279,22.3,44722.0,Ann Arbor,"Ann Arbor, MI"
51810045408,Virginia Beach city,Virginia,VA,2.143,-0.774,Urban,6415,8.4,65341.0,Virginia Beach,"Virginia Beach, VA"
5119004800,Pulaski County,Arkansas,AR,2.138,-0.409,Urban,3243,26.5,65192.0,Pulaski,"Pulaski, AR"
33009961000,Grafton County,New Hampshire,NH,2.136,-1.332,Urban,6990,13.0,65500.0,Grafton,"Grafton, NH"
5031000602,Craighead County,Arkansas,AR,2.135,-0.441,Urban,6150,51.5,21807.0,Craighead,"Craighead, AR"
26161465000,Washtenaw County,Michigan,MI,2.134,-0.677,Urban,5821,8.0,76991.0,Ann Arbor,"Ann Arbor, MI"
37085070802,Harnett County,North Carolina,NC,2.132,-0.801,Urban,4969,25.0,68281.0,Harnett,"Harnett, NC"
46011958802,Brookings County,South Dakota,SD,2.132,-0.972,Urban,6516,25.7,62267.0,Brookings,"Brookings, SD"
13051000100,Chatham County,Georgia,GA,2.126,-0.794,Urban,1811,83.5,10921.0,Chatham,"Chatham, GA"
8041004401,El Paso County,Colorado,CO,2.122,-1.623,Urban,8339,18.0,47301.0,El Paso,"El Paso, CO"
6073009107,San Diego County,California,CA,2.121,-1.227,Urban,3688,28.3,66223.0,San Diego,"San Diego, CA"
18097320204,Marion County,Indiana,IN,2.119,-0.627,Urban,5374,24.1,41680.0,Indianapolis,"Indianapolis, IN"
13135050541,Gwinnett County,Georgia,GA,2.114,-0.755,Urban,5061,25.7,34342.0,Atlanta area,"Atlanta area, GA"
18157010203,Tippecanoe County,Indiana,IN,2.109,-0.599,Urban,8155,25.8,103479.0,Lafayette/West Lafayette,"Lafayette/West Lafayette, IN"
26065004500,Ingham County,Michigan,MI,2.109,-0.699,Urban,3790,22.1,66695.0,Lansing/East Lansing,"Lansing/East Lansing, MI"
1089010622,Madison County,Alabama,AL,2.108,-0.259,Urban,9764,27.5,45824.0,Madison,"Madison, AL"
20045001002,Douglas County,Kansas,KS,2.105,-0.738,Urban,5747,15.3,60952.0,Douglas,"Douglas, KS"
31019969600,Buffalo County,Nebraska,NE,2.104,-0.951,Urban,5475,36.7,27453.0,Buffalo,"Buffalo, NE"
40027201102,Cleveland County,Oklahoma,OK,2.102,-0.451,Urban,2783,29.3,67411.0,Cleveland,"Cleveland, OK"
26077001506,Kalamazoo County,Michigan,MI,2.101,-0.69,Urban,6971,38.5,74167.0,Kalamazoo,"Kalamazoo, MI"
39049008161,Franklin County,Ohio,OH,2.099,-0.395,Urban,7166,19.5,59665.0,Columbus,"Columbus, OH"
53037975401,Kittitas County,Washington,WA,2.091,-1.299,Urban,7501,45.0,65792.0,Kittitas,"Kittitas, WA"
36109001100,Tompkins County,New York,NY,2.081,-0.964,Urban,5647,33.9,92981.0,Ithaca,"Ithaca, NY"
22061961000,Lincoln Parish,Louisiana,LA,2.08,-0.387,Urban,6703,42.4,48344.0,Lincoln Parish,"Lincoln Parish, LA"
6073009201,San Diego County,California,CA,2.08,-1.202,Urban,5014,15.1,66696.0,San Diego,"San Diego, CA"
28105950100,Oktibbeha County,Mississippi,MS,2.078,-0.211,Urban,7611,39.2,78517.0,Starkville,"Starkville, MS"
19103000400,Johnson County,Iowa,IA,2.077,-0.894,Urban,6875,27.1,107905.0,Johnson,"Johnson, IA"
27013171600,Blue Earth County,Minnesota,MN,2.069,-1.193,Urban,5023,29.0,95278.0,Blue Earth,"Blue Earth, MN"
13059150600,Clarke County,Georgia,GA,2.063,-0.753,Urban,3242,33.1,46724.0,Athens,"Athens, GA"
51149850200,Prince George County,Virginia,VA,2.06,-0.98,Urban,3460,5.5,63507.0,Prince George,"Prince George, VA"
51107611002,Loudoun County,Virginia,VA,2.055,-0.993,Urban,3869,10.6,84543.0,Loudoun,"Loudoun, VA"
1089011021,Madison County,Alabama,AL,2.042,-0.22,Urban,3912,7.8,63665.0,Madison,"Madison, AL"
36083041300,Rensselaer County,New York,NY,2.041,-0.951,Urban,5633,21.7,82583.0,Rensselaer,"Rensselaer, NY"
