Census_Tract,County,State,State_Abbr,Resilience_Score,Health_Burden,Urban_Rural,Population_2010,Poverty_Rate,Median_Income,GEOID,latitude,longitude
6083002606,Santa Barbara County,California,CA,3.091,-1.802,Urban,3344,2.8,64348.0,06083002606,34.7122846,-120.5566535
1117030407,Shelby County,Alabama,AL,3.09,-0.835,Urban,1954,38.2,42131.0,01117030407,33.131697,-86.8475678
6031000300,Kings County,California,CA,3.089,-1.821,Urban,7446,9.4,52324.0,06031000300,36.3051812,-119.9245603
18097321900,Marion County,Indiana,IN,3.085,-1.204,Urban,5861,21.3,143750.0,18097321900,39.8398299,-86.1645123
37051003405,Cumberland County,North Carolina,NC,3.083,-1.382,Urban,1975,17.0,35051.0,37051003405,35.1314119,-79.0085229
26073000400,Isabella County,Michigan,MI,3.077,-1.274,Urban,5884,30.8,82708.0,26073000400,43.5754081,-84.8170626
26065004100,Ingham County,Michigan,MI,3.072,-1.274,Urban,4781,75.9,,26065004100,42.7366639,-84.4829516
51810043200,Virginia Beach city,Virginia,VA,3.071,-1.328,Urban,1134,9.0,63456.0,51810043200,36.9045704,-76.0172855
48029181820,Bexar County,Texas,TX,3.063,-1.453,Urban,7202,47.4,64643.0,48029181820,29.5775882,-98.616121
17037002200,DeKalb County,Illinois,IL,3.063,-1.498,Urban,6016,71.0,61250.0,17037002200,41.9344833,-88.7680555
38035010300,Grand Forks County,North Dakota,ND,3.061,-1.445,Urban,5212,54.0,31170.0,38035010300,47.9232816,-97.0730082
4013522800,Maricopa County,Arizona,AZ,3.038,-1.588,Urban,1685,28.7,45508.0,04013522800,33.305743,-111.6550857
19103002300,Johnson County,Iowa,IA,3.037,-1.467,Urban,4510,38.1,115795.0,19103002300,41.6658768,-91.5469903
48309000200,McLennan County,Texas,TX,3.036,-1.328,Urban,3579,72.5,26175.0,48309000200,31.5470174,-97.0990524
21047201502,Christian County,Kentucky,KY,3.026,-1.032,Urban,4527,14.7,38320.0,21047201502,36.6516426,-87.4493742
37067001300,Forsyth County,North Carolina,NC,3.025,-1.341,Urban,4535,25.0,102813.0,37067001300,36.1296874,-80.2770425
29019001101,Boone County,Missouri,MO,3.024,-1.229,Urban,8628,49.9,42798.0,29019001101,38.9049809,-92.3090416
36111953500,Ulster County,New York,NY,3.022,-1.526,Urban,5180,38.0,92173.0,36111953500,41.7367894,-74.0875348
15003009503,Honolulu County,Hawaii,HI,3.021,-2.009,Urban,3403,2.5,71250.0,15003009503,21.4884974,-158.0544437
24003740603,Anne Arundel County,Maryland,MD,3.018,-1.467,Urban,1730,2.8,64917.0,24003740603,39.065069,-76.7566355
51810045200,Virginia Beach city,Virginia,VA,3.017,-1.297,Urban,3734,8.7,52667.0,51810045200,36.7964783,-75.9745704
17029000800,Coles County,Illinois,IL,3.005,-1.466,Urban,5675,58.2,58750.0,17029000800,39.4771737,-88.1760216
39153508900,Summit County,Ohio,OH,2.994,-0.89,Urban,5255,63.6,,39153508900,41.0772923,-81.5058328
1087231700,Macon County,Alabama,AL,2.986,-0.784,Urban,2113,35.5,,01087231700,32.4334728,-85.712429
34005702101,Burlington County,New Jersey,NJ,2.97,-1.601,Urban,2887,3.4,71016.0,34005702101,40.050251,-74.584714
39049004300,Franklin County,Ohio,OH,2.967,-0.914,Urban,5613,21.0,74118.0,39049004300,39.9710998,-83.0502723
6111004305,Ventura County,California,CA,2.965,-1.716,Urban,2388,13.3,52188.0,06111004305,34.1621779,-119.2067537
29101960400,Johnson County,Missouri,MO,2.96,-1.158,Urban,6551,47.5,45170.0,29101960400,38.7485606,-93.7481106
16057005400,Latah County,Idaho,ID,2.958,-1.533,Urban,6435,31.3,68906.0,16057005400,46.678717,-116.9812516
6073008339,San Diego County,California,CA,2.955,-1.725,Urban,1853,41.3,103056.0,06073008339,32.9030498,-117.2324729
13059150500,Clarke County,Georgia,GA,2.954,-1.286,Urban,4741,52.5,43806.0,13059150500,33.9253865,-83.3509708
