TractFIPS,StateAbbr,burden,resid,resilience_score,GEOID
51165010200,VA,0.348035,0.091377,-0.153001,51165010200
06107001005,CA,-0.169048,0.294172,-0.492560,06107001005
36085027702,NY,-0.078565,0.168873,-0.282759,36085027702
17031051200,IL,-1.662058,-1.474793,2.469381,17031051200
17031020301,IL,0.043263,0.230638,-0.386179,17031020301
42129800500,PA,0.223124,0.269934,-0.451975,42129800500
01101002202,AL,1.728308,1.240298,-2.076746,01101002202
06065030103,CA,0.000576,0.480055,-0.803801,06065030103
39035119702,OH,1.624897,1.288217,-2.156980,39035119702
48113006402,TX,0.123734,0.231249,-0.387201,48113006402
13021011702,GA,1.719308,1.255726,-2.102578,13021011702
13141480400,GA,1.527295,1.017217,-1.703221,13141480400
41003001101,OR,-1.586399,-1.194939,2.000796,41003001101
48439111102,TX,1.153371,0.618485,-1.035586,48439111102
48303000900,TX,1.851868,1.369806,-2.293592,48303000900
06019007002,CA,0.299347,0.796599,-1.333819,06019007002
09009142604,CT,-0.188361,0.180134,-0.301615,09009142604
53061051804,WA,-0.991877,-0.433729,0.726232,53061051804
06037430803,CA,-0.702091,-0.212007,0.354983,06037430803
06085507500,CA,-0.858557,-0.387039,0.648055,06085507500
08059011724,CO,-1.182596,-0.317194,0.531108,08059011724
36033950400,NY,0.434211,0.380281,-0.636740,36033950400
39139000600,OH,1.210942,0.834251,-1.396864,39139000600
09003514400,CT,-0.214202,-0.359705,0.602287,09003514400
27053026909,MN,-1.034379,-0.576265,0.964894,27053026909
45035010200,SC,1.449659,1.015608,-1.700526,45035010200
48085031100,TX,0.084264,-0.119166,0.199530,48085031100
48201433202,TX,0.547878,0.620856,-1.039557,48201433202
48381020300,TX,0.135244,0.139110,-0.232925,48381020300
53005010400,WA,-0.283524,-0.219560,0.367629,53005010400
21047200400,KY,1.653812,1.394656,-2.335201,21047200400
36047003800,NY,-0.699220,-0.437135,0.731935,36047003800
34027041200,NJ,-0.840560,-0.506034,0.847300,34027041200
39017000200,OH,0.702784,0.373453,-0.625308,39017000200
06073017701,CA,-0.974595,-0.498221,0.834218,06073017701
06107004102,CA,0.413671,0.360715,-0.603978,06107004102
13227050600,GA,-0.018397,-0.366842,0.614238,13227050600
24033803521,MD,0.268562,0.438008,-0.733398,24033803521
06055201101,CA,-0.431282,0.051948,-0.086982,06055201101
06111004704,CA,-0.163182,-0.022897,0.038338,06111004704
13089022008,GA,0.674309,0.700617,-1.173108,13089022008
24003740603,MD,-1.467342,-1.802440,3.017991,24003740603
