TractFIPS,StateAbbr,burden,resilience_score_old,resilience_score_new,score_change,old_class,new_class,class_changed
04005000500,AZ,-0.824464,0.889806,0.6937664281331513,-0.19603957186684873,expected,expected,False
06013308001,CA,-0.187618,-0.522089,0.156516578800959,0.6786055788009591,expected,expected,False
25021418003,MA,-1.052979,0.843498,0.6653517977892247,-0.17814620221077526,expected,expected,False
18081611100,IN,0.640794,-0.878641,-1.3750110356201295,-0.4963700356201295,expected,expected,False
18137968700,IN,0.390286,0.115589,-0.1883564473325938,-0.30394544733259377,expected,expected,False
36061008800,NY,-1.489297,2.063702,2.0097369571967314,-0.05396504280326875,resilient,resilient,False
17113000501,IL,-0.549984,1.524804,1.8337977446166427,0.30899374461664264,expected,resilient,True
36061006000,NY,-1.091317,1.397818,1.217311003171693,-0.18050699682830706,expected,expected,False
37147000301,NC,-0.245761,0.379075,0.041048303748805755,-0.33802669625119425,expected,expected,False
45075011800,SC,0.961577,-0.857476,-1.361832005373764,-0.504356005373764,expected,expected,False
48287000400,TX,0.558544,-0.137796,-0.13971872000037022,-0.0019227200003702205,expected,expected,False
21067004001,KY,-0.075798,0.573478,1.4268855099967355,0.8534075099967354,expected,expected,False
27067780600,MN,-0.164735,-0.481821,-0.9143370097739396,-0.4325160097739396,expected,expected,False
42085030900,PA,1.448235,-2.532443,-2.178209188545092,0.3542338114549084,vulnerable,vulnerable,False
48113007818,TX,-0.093562,-0.022842,0.8564927272222219,0.879334727222222,expected,expected,False
05133080200,AR,0.601673,0.128624,-0.15364091177519387,-0.28226491177519386,expected,expected,False
06013308002,CA,-0.682113,0.305912,-0.06626750400483056,-0.3721795040048306,expected,expected,False
06071001600,CA,0.196204,-1.127423,-0.6077190976797644,0.5197039023202357,expected,expected,False
34005700603,NJ,-0.23127,-0.187134,-0.5859152919480528,-0.3987812919480528,expected,expected,False
36081058000,NY,0.359972,-1.019691,-1.6723796104044768,-0.6526886104044769,expected,vulnerable,True
39035112400,OH,1.624938,-2.157449,-1.7099946007818985,0.4474543992181017,vulnerable,vulnerable,False
45045002506,SC,-0.021614,0.231164,-0.09204378986529035,-0.32320778986529036,expected,expected,False
49049002702,UT,-1.431642,1.235129,1.211486218403374,-0.023642781596626028,expected,expected,False
06037532101,CA,-0.370811,-0.199723,0.5212758325215199,0.7209988325215199,expected,expected,False
36029009600,NY,0.229454,-0.834356,-1.4125026048578666,-0.5781466048578666,expected,expected,False
39049005610,OH,0.995192,-1.093742,-0.456094719271642,0.637647280728358,expected,expected,False
